English	中文
pd_checksum	页校验和
pd_flags	页标志位
pg_lsn	日志序列号类型
Phantom Reads	幻读
phantoms	幻读
Physical Structure	物理结构
pin count	钉住计数
pinned	钉住
PITR	时间点恢复
plan node	计划节点
plan tree	计划树
Planner	规划器
Pluggable Storage Engines	可插拔存储引擎
Point-In-Time Recovery	时间点恢复
postgres server process	postgres 服务器进程
PostgreSQL Server	PostgreSQL 服务器
postings list	倒排列表
precedence graph	前驱图
predicate lock	谓词锁
preferred types	首选类型
prepared statements	预备语句
prepared transactions	预备事务
primary	主库
primary server	主库
primary servers	主库
Prior Checkpoint Location	上次检查点位置
privilege system	权限系统
probe	探测
procedural languages	过程语言
pruning	剪枝
publication	发布
push-down	下推
qualified name	限定名
query tree	查询树
Quicksort	快速排序
quorum	法定人数
Range Summarization	范围摘要
range type	范围类型
Read Committed	读已提交
read replicas	只读副本
read skew	读偏差
read-after-write consistency	写后读一致性
Read-Only Queries	只读查询
rebalancing	再平衡
recency guarantee	时效性保证
records	记录
Recovery	恢复
recovery target	恢复目标
recursive term	递归项
REDO log	重做日志
REDO Point	重做点
refactoring	重构
referential integrity	引用完整性
Regular Index Scans	常规索引扫描
regular set	正则集
relation	关系
Relation Extension Locks	关系扩展锁
Relation-Level Locks	关系级锁
Relations	关系
relfilenode	关系文件节点
reliability	可靠性
Repeatable Read	可重复读
replay	重放
replica	副本
Replication	复制
Replication Associated Process	复制相关进程
replication slot	复制槽
rescan	重新扫描
resource manager	资源管理器
response time	响应时间
RETURNING list	RETURNING 列表
Rewriter	重写器
ring buffer	环形缓冲区
row constructor	行构造器
row security policies	行安全性策略
Row-Level Locking Modes	行级锁模式
Row-Level Locks	行级锁
row-level security	行级安全
row-type	行类型
rw-conflict	读-写冲突
S2PL	严格两阶段锁协议
Sampling	采样
savepoint	保存点
scalability	可伸缩性
schema	模式
Schemas	模式
search path	搜索路径
secondaries	备库
secondary	备库
secure schema usage pattern	模式的安全使用方式
select list	选择列表
SELECT output list	SELECT 输出列表
Selectivity	选择率
secondary server	备库
secondary servers	备库
self-referential	自引用
Semi-joins	半连接
sequence object	序列对象
Sequential Scans	顺序扫描
serializability	可串行性
Serializable	可串行化
Serializable Snapshot Isolation	可串行化快照隔离
serialization	序列化
serialization anomalies	串行化异常
serialization function	序列化函数
serialization graph	串行化图
Server Programming Interface	服务器编程接口
Service discovery	服务发现
service time	服务时间
Sharding	分片
Shared Modes	共享模式
